Passengerid,Age,Fare,Sex,sibsp,Parch,Pclass,Embarked,Survived,Survived_label,Sex_label
74,26.0,14.4542,0,1,0,3,0.0,0,Not Survived,Male
75,32.0,56.4958,0,0,0,3,2.0,1,Survived,Male
76,25.0,7.65,0,0,0,3,2.0,0,Not Survived,Male
77,28.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
78,28.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
79,0.83,29.0,0,0,2,2,2.0,1,Survived,Male
80,30.0,12.475,1,0,0,3,2.0,1,Survived,Female
81,22.0,9.0,0,0,0,3,2.0,0,Not Survived,Male
82,29.0,9.5,0,0,0,3,2.0,1,Survived,Male
83,28.0,7.7875,1,0,0,3,1.0,1,Survived,Female
84,28.0,47.1,0,0,0,1,2.0,0,Not Survived,Male
85,17.0,10.5,1,0,0,2,2.0,1,Survived,Female
86,33.0,15.85,1,3,0,3,2.0,1,Survived,Female
87,16.0,34.375,0,1,3,3,2.0,0,Not Survived,Male
88,28.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
89,23.0,263.0,1,3,2,1,2.0,1,Survived,Female
90,24.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
91,29.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
92,20.0,7.8542,0,0,0,3,2.0,0,Not Survived,Male
93,46.0,61.175,0,1,0,1,2.0,0,Not Survived,Male
94,26.0,20.575,0,1,2,3,2.0,0,Not Survived,Male
95,59.0,7.25,0,0,0,3,2.0,0,Not Survived,Male
96,28.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
97,71.0,34.6542,0,0,0,1,0.0,0,Not Survived,Male
98,23.0,63.3583,0,0,1,1,0.0,1,Survived,Male
99,34.0,23.0,1,0,1,2,2.0,1,Survived,Female
100,34.0,26.0,0,1,0,2,2.0,0,Not Survived,Male
101,28.0,7.8958,1,0,0,3,2.0,0,Not Survived,Female
102,28.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
103,21.0,77.2875,0,0,1,1,2.0,0,Not Survived,Male
104,33.0,8.6542,0,0,0,3,2.0,0,Not Survived,Male
105,37.0,7.925,0,2,0,3,2.0,0,Not Survived,Male
106,28.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
107,21.0,7.65,1,0,0,3,2.0,1,Survived,Female
108,28.0,7.775,0,0,0,3,2.0,1,Survived,Male
109,38.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
110,28.0,24.15,1,1,0,3,1.0,1,Survived,Female
111,47.0,52.0,0,0,0,1,2.0,0,Not Survived,Male
112,14.5,14.4542,1,1,0,3,0.0,0,Not Survived,Female
113,22.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
114,20.0,9.825,1,1,0,3,2.0,0,Not Survived,Female
115,17.0,14.4583,1,0,0,3,0.0,0,Not Survived,Female
116,21.0,7.925,0,0,0,3,2.0,0,Not Survived,Male
117,70.5,7.75,0,0,0,3,1.0,0,Not Survived,Male
118,29.0,21.0,0,1,0,2,2.0,0,Not Survived,Male
119,24.0,247.5208,0,0,1,1,0.0,0,Not Survived,Male
120,2.0,31.275,1,4,2,3,2.0,0,Not Survived,Female
121,21.0,73.5,0,2,0,2,2.0,0,Not Survived,Male
122,28.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
123,32.5,30.0708,0,1,0,2,0.0,0,Not Survived,Male
124,32.5,13.0,1,0,0,2,2.0,1,Survived,Female
125,54.0,77.2875,0,0,1,1,2.0,0,Not Survived,Male
126,12.0,11.2417,0,1,0,3,0.0,1,Survived,Male
127,28.0,7.75,0,0,0,3,1.0,0,Not Survived,Male
128,24.0,7.1417,0,0,0,3,2.0,1,Survived,Male
129,28.0,22.3583,1,1,1,3,0.0,1,Survived,Female
130,45.0,6.975,0,0,0,3,2.0,0,Not Survived,Male
131,33.0,7.8958,0,0,0,3,0.0,0,Not Survived,Male
132,20.0,7.05,0,0,0,3,2.0,0,Not Survived,Male
133,47.0,14.5,1,1,0,3,2.0,0,Not Survived,Female
134,29.0,26.0,1,1,0,2,2.0,1,Survived,Female
135,25.0,13.0,0,0,0,2,2.0,0,Not Survived,Male
136,23.0,15.0458,0,0,0,2,0.0,0,Not Survived,Male
137,19.0,26.2833,1,0,2,1,2.0,1,Survived,Female
138,37.0,53.1,0,1,0,1,2.0,0,Not Survived,Male
139,16.0,9.2167,0,0,0,3,2.0,0,Not Survived,Male
140,24.0,79.2,0,0,0,1,0.0,0,Not Survived,Male
141,28.0,15.2458,1,0,2,3,0.0,0,Not Survived,Female
142,22.0,7.75,1,0,0,3,2.0,1,Survived,Female
143,24.0,15.85,1,1,0,3,2.0,1,Survived,Female
144,19.0,6.75,0,0,0,3,1.0,0,Not Survived,Male
145,18.0,11.5,0,0,0,2,2.0,0,Not Survived,Male
146,19.0,36.75,0,1,1,2,2.0,0,Not Survived,Male
147,27.0,7.7958,0,0,0,3,2.0,1,Survived,Male
148,9.0,34.375,1,2,2,3,2.0,0,Not Survived,Female
149,36.5,26.0,0,0,2,2,2.0,0,Not Survived,Male
150,42.0,13.0,0,0,0,2,2.0,0,Not Survived,Male
151,51.0,12.525,0,0,0,2,2.0,0,Not Survived,Male
152,22.0,66.6,1,1,0,1,2.0,1,Survived,Female
153,55.5,8.05,0,0,0,3,2.0,0,Not Survived,Male
154,40.5,14.5,0,0,2,3,2.0,0,Not Survived,Male
155,28.0,7.3125,0,0,0,3,2.0,0,Not Survived,Male
156,51.0,61.3792,0,0,1,1,0.0,0,Not Survived,Male
157,16.0,7.7333,1,0,0,3,1.0,1,Survived,Female
158,30.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
159,28.0,8.6625,0,0,0,3,2.0,0,Not Survived,Male
160,28.0,69.55,0,8,2,3,2.0,0,Not Survived,Male
161,44.0,16.1,0,0,1,3,2.0,0,Not Survived,Male
162,40.0,15.75,1,0,0,2,2.0,1,Survived,Female
163,26.0,7.775,0,0,0,3,2.0,0,Not Survived,Male
164,17.0,8.6625,0,0,0,3,2.0,0,Not Survived,Male
165,1.0,39.6875,0,4,1,3,2.0,0,Not Survived,Male
166,9.0,20.525,0,0,2,3,2.0,1,Survived,Male
167,28.0,55.0,1,0,1,1,2.0,1,Survived,Female
168,45.0,27.9,1,1,4,3,2.0,0,Not Survived,Female
169,28.0,25.925,0,0,0,1,2.0,0,Not Survived,Male
170,28.0,56.4958,0,0,0,3,2.0,0,Not Survived,Male
171,61.0,33.5,0,0,0,1,2.0,0,Not Survived,Male
172,4.0,29.125,0,4,1,3,1.0,0,Not Survived,Male
173,1.0,11.1333,1,1,1,3,2.0,1,Survived,Female
174,21.0,7.925,0,0,0,3,2.0,0,Not Survived,Male
175,56.0,30.6958,0,0,0,1,0.0,0,Not Survived,Male
176,18.0,7.8542,0,1,1,3,2.0,0,Not Survived,Male
177,28.0,25.4667,0,3,1,3,2.0,0,Not Survived,Male
178,50.0,28.7125,1,0,0,1,0.0,0,Not Survived,Female
179,30.0,13.0,0,0,0,2,2.0,0,Not Survived,Male
180,36.0,0.0,0,0,0,3,2.0,0,Not Survived,Male
181,28.0,69.55,1,8,2,3,2.0,0,Not Survived,Female
182,28.0,15.05,0,0,0,2,0.0,0,Not Survived,Male
183,9.0,31.3875,0,4,2,3,2.0,0,Not Survived,Male
184,1.0,39.0,0,2,1,2,2.0,1,Survived,Male
185,4.0,22.025,1,0,2,3,2.0,1,Survived,Female
186,28.0,50.0,0,0,0,1,2.0,0,Not Survived,Male
187,28.0,15.5,1,1,0,3,1.0,1,Survived,Female
188,45.0,26.55,0,0,0,1,2.0,1,Survived,Male
189,40.0,15.5,0,1,1,3,1.0,0,Not Survived,Male
190,36.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
191,32.0,13.0,1,0,0,2,2.0,1,Survived,Female
192,19.0,13.0,0,0,0,2,2.0,0,Not Survived,Male
193,19.0,7.8542,1,1,0,3,2.0,1,Survived,Female
194,3.0,26.0,0,1,1,2,2.0,1,Survived,Male
195,44.0,27.7208,1,0,0,1,0.0,1,Survived,Female
196,58.0,146.5208,1,0,0,1,0.0,1,Survived,Female
197,28.0,7.75,0,0,0,3,1.0,0,Not Survived,Male
198,42.0,8.4042,0,0,1,3,2.0,0,Not Survived,Male
199,28.0,7.75,1,0,0,3,1.0,1,Survived,Female
200,24.0,13.0,1,0,0,2,2.0,0,Not Survived,Female
201,28.0,9.5,0,0,0,3,2.0,0,Not Survived,Male
202,28.0,69.55,0,8,2,3,2.0,0,Not Survived,Male
203,34.0,6.4958,0,0,0,3,2.0,0,Not Survived,Male
204,45.5,7.225,0,0,0,3,0.0,0,Not Survived,Male
205,18.0,8.05,0,0,0,3,2.0,1,Survived,Male
206,2.0,10.4625,1,0,1,3,2.0,0,Not Survived,Female
207,32.0,15.85,0,1,0,3,2.0,0,Not Survived,Male
208,26.0,18.7875,0,0,0,3,0.0,1,Survived,Male
209,16.0,7.75,1,0,0,3,1.0,1,Survived,Female
210,40.0,31.0,0,0,0,1,0.0,1,Survived,Male
211,24.0,7.05,0,0,0,3,2.0,0,Not Survived,Male
212,35.0,21.0,1,0,0,2,2.0,1,Survived,Female
213,22.0,7.25,0,0,0,3,2.0,0,Not Survived,Male
214,30.0,13.0,0,0,0,2,2.0,0,Not Survived,Male
215,28.0,7.75,0,1,0,3,1.0,0,Not Survived,Male
216,31.0,113.275,1,1,0,1,0.0,1,Survived,Female
217,27.0,7.925,1,0,0,3,2.0,1,Survived,Female
218,42.0,27.0,0,1,0,2,2.0,0,Not Survived,Male
219,32.0,76.2917,1,0,0,1,0.0,1,Survived,Female
220,30.0,10.5,0,0,0,2,2.0,0,Not Survived,Male
221,16.0,8.05,0,0,0,3,2.0,1,Survived,Male
222,27.0,13.0,0,0,0,2,2.0,0,Not Survived,Male
223,51.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
224,28.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
225,38.0,90.0,0,1,0,1,2.0,1,Survived,Male
226,22.0,9.35,0,0,0,3,2.0,0,Not Survived,Male
227,19.0,10.5,0,0,0,2,2.0,1,Survived,Male
228,20.5,7.25,0,0,0,3,2.0,0,Not Survived,Male
229,18.0,13.0,0,0,0,2,2.0,0,Not Survived,Male
230,28.0,25.4667,1,3,1,3,2.0,0,Not Survived,Female
231,35.0,83.475,1,1,0,1,2.0,1,Survived,Female
232,29.0,7.775,0,0,0,3,2.0,0,Not Survived,Male
233,59.0,13.5,0,0,0,2,2.0,0,Not Survived,Male
234,5.0,31.3875,1,4,2,3,2.0,1,Survived,Female
235,24.0,10.5,0,0,0,2,2.0,0,Not Survived,Male
236,28.0,7.55,1,0,0,3,2.0,0,Not Survived,Female
237,44.0,26.0,0,1,0,2,2.0,0,Not Survived,Male
238,8.0,26.25,1,0,2,2,2.0,1,Survived,Female
239,19.0,10.5,0,0,0,2,2.0,0,Not Survived,Male
240,33.0,12.275,0,0,0,2,2.0,0,Not Survived,Male
241,28.0,14.4542,1,1,0,3,0.0,0,Not Survived,Female
242,28.0,15.5,1,1,0,3,1.0,1,Survived,Female
243,29.0,10.5,0,0,0,2,2.0,0,Not Survived,Male
244,22.0,7.125,0,0,0,3,2.0,0,Not Survived,Male
245,30.0,7.225,0,0,0,3,0.0,0,Not Survived,Male
246,44.0,90.0,0,2,0,1,1.0,0,Not Survived,Male
247,25.0,7.775,1,0,0,3,2.0,0,Not Survived,Female
248,24.0,14.5,1,0,2,2,2.0,1,Survived,Female
249,37.0,52.5542,0,1,1,1,2.0,1,Survived,Male
250,54.0,26.0,0,1,0,2,2.0,0,Not Survived,Male
251,28.0,7.25,0,0,0,3,2.0,0,Not Survived,Male
252,29.0,10.4625,1,1,1,3,2.0,0,Not Survived,Female
253,62.0,26.55,0,0,0,1,2.0,0,Not Survived,Male
254,30.0,16.1,0,1,0,3,2.0,0,Not Survived,Male
255,41.0,20.2125,1,0,2,3,2.0,0,Not Survived,Female
256,29.0,15.2458,1,0,2,3,0.0,1,Survived,Female
257,28.0,79.2,1,0,0,1,0.0,1,Survived,Female
258,30.0,86.5,1,0,0,1,2.0,1,Survived,Female
259,35.0,512.3292,1,0,0,1,0.0,1,Survived,Female
260,50.0,26.0,1,0,1,2,2.0,1,Survived,Female
261,28.0,7.75,0,0,0,3,1.0,0,Not Survived,Male
262,3.0,31.3875,0,4,2,3,2.0,1,Survived,Male
263,52.0,79.65,0,1,1,1,2.0,0,Not Survived,Male
264,40.0,0.0,0,0,0,1,2.0,0,Not Survived,Male
265,28.0,7.75,1,0,0,3,1.0,0,Not Survived,Female
266,36.0,10.5,0,0,0,2,2.0,0,Not Survived,Male
267,16.0,39.6875,0,4,1,3,2.0,0,Not Survived,Male
268,25.0,7.775,0,1,0,3,2.0,1,Survived,Male
269,58.0,153.4625,1,0,1,1,2.0,1,Survived,Female
270,35.0,135.6333,1,0,0,1,2.0,1,Survived,Female
271,28.0,31.0,0,0,0,1,2.0,0,Not Survived,Male
272,25.0,0.0,0,0,0,3,2.0,1,Survived,Male
273,41.0,19.5,1,0,1,2,2.0,1,Survived,Female
274,37.0,29.7,0,0,1,1,0.0,0,Not Survived,Male
275,28.0,7.75,1,0,0,3,1.0,1,Survived,Female
276,63.0,77.9583,1,1,0,1,2.0,1,Survived,Female
277,45.0,7.75,1,0,0,3,2.0,0,Not Survived,Female
278,28.0,0.0,0,0,0,2,2.0,0,Not Survived,Male
279,7.0,29.125,0,4,1,3,1.0,0,Not Survived,Male
280,35.0,20.25,1,1,1,3,2.0,1,Survived,Female
281,65.0,7.75,0,0,0,3,1.0,0,Not Survived,Male
282,28.0,7.8542,0,0,0,3,2.0,0,Not Survived,Male
283,16.0,9.5,0,0,0,3,2.0,0,Not Survived,Male
284,19.0,8.05,0,0,0,3,2.0,1,Survived,Male
285,28.0,26.0,0,0,0,1,2.0,0,Not Survived,Male
286,33.0,8.6625,0,0,0,3,0.0,0,Not Survived,Male
287,30.0,9.5,0,0,0,3,2.0,1,Survived,Male
288,22.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
289,42.0,13.0,0,0,0,2,2.0,1,Survived,Male
290,22.0,7.75,1,0,0,3,1.0,1,Survived,Female
291,26.0,78.85,1,0,0,1,2.0,1,Survived,Female
292,19.0,91.0792,1,1,0,1,0.0,1,Survived,Female
293,36.0,12.875,0,0,0,2,0.0,0,Not Survived,Male
294,24.0,8.85,1,0,0,3,2.0,0,Not Survived,Female
295,24.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
296,28.0,27.7208,0,0,0,1,0.0,0,Not Survived,Male
297,23.5,7.2292,0,0,0,3,0.0,0,Not Survived,Male
298,2.0,151.55,1,1,2,1,2.0,0,Not Survived,Female
299,28.0,30.5,0,0,0,1,2.0,1,Survived,Male
300,50.0,247.5208,1,0,1,1,0.0,1,Survived,Female
301,28.0,7.75,1,0,0,3,1.0,1,Survived,Female
302,28.0,23.25,0,2,0,3,1.0,1,Survived,Male
303,19.0,0.0,0,0,0,3,2.0,0,Not Survived,Male
304,28.0,12.35,1,0,0,2,1.0,1,Survived,Female
305,28.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
306,0.92,151.55,0,1,2,1,2.0,1,Survived,Male
307,28.0,110.8833,1,0,0,1,0.0,1,Survived,Female
308,17.0,108.9,1,1,0,1,0.0,1,Survived,Female
309,30.0,24.0,0,1,0,2,0.0,0,Not Survived,Male
310,30.0,56.9292,1,0,0,1,0.0,1,Survived,Female
311,24.0,83.1583,1,0,0,1,0.0,1,Survived,Female
312,18.0,262.375,1,2,2,1,0.0,1,Survived,Female
313,26.0,26.0,1,1,1,2,2.0,0,Not Survived,Female
314,28.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
315,43.0,26.25,0,1,1,2,2.0,0,Not Survived,Male
316,26.0,7.8542,1,0,0,3,2.0,1,Survived,Female
317,24.0,26.0,1,1,0,2,2.0,1,Survived,Female
318,54.0,14.0,0,0,0,2,2.0,0,Not Survived,Male
319,31.0,164.8667,1,0,2,1,2.0,1,Survived,Female
320,40.0,134.5,1,1,1,1,0.0,1,Survived,Female
321,22.0,7.25,0,0,0,3,2.0,0,Not Survived,Male
322,27.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
323,30.0,12.35,1,0,0,2,1.0,1,Survived,Female
324,22.0,29.0,1,1,1,2,2.0,1,Survived,Female
325,28.0,69.55,0,8,2,3,2.0,0,Not Survived,Male
326,36.0,135.6333,1,0,0,1,0.0,1,Survived,Female
327,61.0,6.2375,0,0,0,3,2.0,0,Not Survived,Male
328,36.0,13.0,1,0,0,2,2.0,1,Survived,Female
329,31.0,20.525,1,1,1,3,2.0,1,Survived,Female
330,16.0,57.9792,1,0,1,1,0.0,1,Survived,Female
331,28.0,23.25,1,2,0,3,1.0,1,Survived,Female
332,45.5,28.5,0,0,0,1,2.0,0,Not Survived,Male
333,38.0,153.4625,0,0,1,1,2.0,0,Not Survived,Male
334,16.0,18.0,0,2,0,3,2.0,0,Not Survived,Male
335,28.0,133.65,1,1,0,1,2.0,1,Survived,Female
336,28.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
337,29.0,66.6,0,1,0,1,2.0,0,Not Survived,Male
338,41.0,134.5,1,0,0,1,0.0,1,Survived,Female
339,45.0,8.05,0,0,0,3,2.0,1,Survived,Male
340,45.0,35.5,0,0,0,1,2.0,0,Not Survived,Male
341,2.0,26.0,0,1,1,2,2.0,1,Survived,Male
342,24.0,263.0,1,3,2,1,2.0,1,Survived,Female
343,28.0,13.0,0,0,0,2,2.0,0,Not Survived,Male
344,25.0,13.0,0,0,0,2,2.0,0,Not Survived,Male
345,36.0,13.0,0,0,0,2,2.0,0,Not Survived,Male
346,24.0,13.0,1,0,0,2,2.0,1,Survived,Female
347,40.0,13.0,1,0,0,2,2.0,1,Survived,Female
348,28.0,16.1,1,1,0,3,2.0,1,Survived,Female
349,3.0,15.9,0,1,1,3,2.0,1,Survived,Male
350,42.0,8.6625,0,0,0,3,2.0,0,Not Survived,Male
351,23.0,9.225,0,0,0,3,2.0,0,Not Survived,Male
352,28.0,35.0,0,0,0,1,2.0,0,Not Survived,Male
353,15.0,7.2292,0,1,1,3,0.0,0,Not Survived,Male
354,25.0,17.8,0,1,0,3,2.0,0,Not Survived,Male
355,28.0,7.225,0,0,0,3,0.0,0,Not Survived,Male
356,28.0,9.5,0,0,0,3,2.0,0,Not Survived,Male
357,22.0,55.0,1,0,1,1,2.0,1,Survived,Female
358,38.0,13.0,1,0,0,2,2.0,0,Not Survived,Female
359,28.0,7.8792,1,0,0,3,1.0,1,Survived,Female
360,28.0,7.8792,1,0,0,3,1.0,1,Survived,Female
361,40.0,27.9,0,1,4,3,2.0,0,Not Survived,Male
362,29.0,27.7208,0,1,0,2,0.0,0,Not Survived,Male
363,45.0,14.4542,1,0,1,3,0.0,0,Not Survived,Female
364,35.0,7.05,0,0,0,3,2.0,0,Not Survived,Male
365,28.0,15.5,0,1,0,3,1.0,0,Not Survived,Male
366,30.0,7.25,0,0,0,3,2.0,0,Not Survived,Male
367,60.0,75.25,1,1,0,1,0.0,1,Survived,Female
368,28.0,7.2292,1,0,0,3,0.0,1,Survived,Female
369,28.0,7.75,1,0,0,3,1.0,1,Survived,Female
370,24.0,69.3,1,0,0,1,0.0,1,Survived,Female
371,25.0,55.4417,0,1,0,1,0.0,1,Survived,Male
372,18.0,6.4958,0,1,0,3,2.0,0,Not Survived,Male
373,19.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
374,22.0,135.6333,0,0,0,1,0.0,0,Not Survived,Male
375,3.0,21.075,1,3,1,3,2.0,0,Not Survived,Female
376,28.0,82.1708,1,1,0,1,0.0,1,Survived,Female
377,22.0,7.25,1,0,0,3,2.0,1,Survived,Female
378,27.0,211.5,0,0,2,1,0.0,0,Not Survived,Male
379,20.0,4.0125,0,0,0,3,0.0,0,Not Survived,Male
380,19.0,7.775,0,0,0,3,2.0,0,Not Survived,Male
381,42.0,227.525,1,0,0,1,0.0,1,Survived,Female
382,1.0,15.7417,1,0,2,3,0.0,1,Survived,Female
383,32.0,7.925,0,0,0,3,2.0,0,Not Survived,Male
384,35.0,52.0,1,1,0,1,2.0,1,Survived,Female
385,28.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
386,18.0,73.5,0,0,0,2,2.0,0,Not Survived,Male
387,1.0,46.9,0,5,2,3,2.0,0,Not Survived,Male
388,36.0,13.0,1,0,0,2,2.0,1,Survived,Female
389,28.0,7.7292,0,0,0,3,1.0,0,Not Survived,Male
390,17.0,12.0,1,0,0,2,0.0,1,Survived,Female
391,36.0,120.0,0,1,2,1,2.0,1,Survived,Male
392,21.0,7.7958,0,0,0,3,2.0,1,Survived,Male
393,28.0,7.925,0,2,0,3,2.0,0,Not Survived,Male
394,23.0,113.275,1,1,0,1,0.0,1,Survived,Female
395,24.0,16.7,1,0,2,3,2.0,1,Survived,Female
396,22.0,7.7958,0,0,0,3,2.0,0,Not Survived,Male
397,31.0,7.8542,1,0,0,3,2.0,0,Not Survived,Female
398,46.0,26.0,0,0,0,2,2.0,0,Not Survived,Male
399,23.0,10.5,0,0,0,2,2.0,0,Not Survived,Male
400,28.0,12.65,1,0,0,2,2.0,1,Survived,Female
401,39.0,7.925,0,0,0,3,2.0,1,Survived,Male
402,26.0,8.05,0,0,0,3,2.0,0,Not Survived,Male
403,21.0,9.825,1,1,0,3,2.0,0,Not Survived,Female
404,28.0,15.85,0,1,0,3,2.0,0,Not Survived,Male
405,20.0,8.6625,1,0,0,3,2.0,0,Not Survived,Female
406,34.0,21.0,0,1,0,2,2.0,0,Not Survived,Male
407,51.0,7.75,0,0,0,3,2.0,0,Not Survived,Male
408,3.0,18.75,0,1,1,2,2.0,1,Survived,Male
409,21.0,7.775,0,0,0,3,2.0,0,Not Survived,Male
410,28.0,25.4667,1,3,1,3,2.0,0,Not Survived,Female
411,28.0,7.8958,0,0,0,3,2.0,0,Not Survived,Male
412,28.0,6.8583,0,0,0,3,1.0,0,Not Survived,Male
413,33.0,90.0,1,1,0,1,1.0,1,Survived,Female
414,28.0,0.0,0,0,0,2,2.0,0,Not Survived,Male
415,44.0,7.925,0,0,0,3,2.0,1,Survived,Male
416,28.0,8.05,1,0,0,3,2.0,0,Not Survived,Female
417,34.0,32.5,1,1,1,2,2.0,1,Survived,Female
418,18.0,13.0,1,0,2,2,2.0,1,Survived,Female
419,30.0,13.0,0,0,0,2,2.0,0,Not Survived,Male
420,10.0,24.15,1,0,2,3,2.0,0,Not Survived,Female
421,28.0,7.8958,0,0,0,3,0.0,0,Not Survived,Male
422,21.0,7.7333,0,0,0,3,1.0,0,Not Survived,Male
423,29.0,7.875,0,0,0,3,2.0,0,Not Survived,Male
424,28.0,14.4,1,1,1,3,2.0,0,Not Survived,Female
425,18.0,20.2125,0,1,1,3,2.0,0,Not Survived,Male
426,28.0,7.25,0,0,0,3,2.0,0,Not Survived,Male
427,28.0,26.0,1,1,0,2,2.0,1,Survived,Female
